epoch,step,train_MAE,train_RMSE,train_Total_Loss,val_MAE,val_RMSE,val_Total_Loss
39,14479,0.5812312960624695,0.8053499460220337,0.6565442085266113,,,
40,14841,,,,0.5725014805793762,0.8089152574539185,0.664685070514679
40,14841,0.572299599647522,0.7930616140365601,0.6359266638755798,,,
41,15203,,,,0.5693086385726929,0.8033366799354553,0.657355785369873
41,15203,0.5730441212654114,0.7914280295372009,0.6337140202522278,,,
42,15565,,,,0.5750850439071655,0.801802933216095,0.6533673405647278
42,15565,0.5686967968940735,0.7869651317596436,0.6271350383758545,,,
43,15927,,,,0.5676096677780151,0.7941696643829346,0.6409041881561279
43,15927,0.5677565336227417,0.7854050397872925,0.6245664954185486,,,
44,16289,,,,0.545995831489563,0.768479585647583,0.6005503535270691
44,16289,0.5521465539932251,0.7618637084960938,0.5880970358848572,,,
45,16651,,,,0.5557851791381836,0.7793515920639038,0.6179751753807068
